City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,-0.91,97,100,9.39,GL,1670106070
1,punta arenas,-53.15,-70.9167,10.06,46,20,11.83,CL,1670106484
2,quelimane,-17.8786,36.8883,25.97,73,20,2.57,MZ,1670106078
3,ushuaia,-54.8,-68.3,6.81,65,75,8.75,AR,1670105897
4,villa union,23.2,-106.2333,28.98,45,0,2.57,MX,1670106586
5,tuktoyaktuk,69.4541,-133.0374,-11.63,87,100,12.12,CA,1670106038
6,bethel,41.3712,-73.414,13.44,82,100,1.79,US,1670106086
7,longyearbyen,78.2186,15.6401,-2.09,86,75,9.26,SJ,1670106035
8,cape town,-33.9258,18.4232,16.86,70,68,4.92,ZA,1670106003
9,tarata,-17.6167,-66.0167,20.68,48,44,4.3,BO,1670106586
10,albany,42.6001,-73.9662,10.13,79,100,1.34,US,1670106586
11,butaritari,3.0707,172.7902,27.34,78,27,7.57,KI,1670106587
12,bluff,-46.6,168.3333,14.25,75,94,13.47,NZ,1670106587
13,kodiak,57.79,-152.4072,-0.27,64,0,0.0,US,1670106587
14,shostka,51.863,33.4698,-3.88,60,100,5.48,UA,1670106588
15,boa vista,2.8197,-60.6733,24.99,88,75,4.63,BR,1670106313
16,nanortalik,60.1432,-45.2371,-3.47,84,62,5.94,GL,1670106588
17,iqaluit,63.7506,-68.5145,-10.15,62,75,7.2,CA,1670106588
18,kapaa,22.0752,-159.319,28.18,71,75,5.66,US,1670106526
19,hobart,-42.8794,147.3294,16.81,80,75,1.54,AU,1670106026
20,katsuura,35.1333,140.3,16.01,61,98,9.23,JP,1670106141
21,new norfolk,-42.7826,147.0587,16.62,50,99,0.8,AU,1670106032
22,barrow,71.2906,-156.7887,-14.99,85,0,3.09,US,1670106589
23,rikitea,-23.1203,-134.9692,23.68,74,36,5.75,PF,1670105959
24,mar del plata,-38.0023,-57.5575,22.13,71,0,7.6,AR,1670106058
25,akyab,20.15,92.9,22.87,83,0,2.61,MM,1670106589
26,busselton,-33.65,115.3333,16.25,73,97,6.49,AU,1670106590
27,makakilo city,21.3469,-158.0858,28.18,60,40,5.66,US,1670106063
28,atuona,-9.8,-139.0333,25.47,76,2,7.06,PF,1670106027
29,bredasdorp,-34.5322,20.0403,13.47,65,90,0.84,ZA,1670106032
30,dikson,73.5069,80.5464,-3.13,92,100,8.79,RU,1670106027
31,mataura,-46.1927,168.8643,17.24,50,98,4.85,NZ,1670106031
32,yellowknife,62.456,-114.3525,-14.69,85,100,3.6,CA,1670106030
33,lavrentiya,65.5833,-171.0,-3.91,95,100,9.59,RU,1670106064
34,airai,-8.9266,125.4092,15.55,65,39,0.87,TL,1670106077
35,hilo,19.7297,-155.09,29.04,87,100,3.6,US,1670106528
36,kavieng,-2.5744,150.7967,27.39,78,96,2.17,PG,1670106034
37,kaitangata,-46.2817,169.8464,17.45,47,100,6.14,NZ,1670106047
38,nyurba,63.2842,118.3319,-26.0,100,98,1.38,RU,1670106591
39,launceston,-41.45,147.1667,18.12,80,63,1.03,AU,1670106591
40,torbay,47.6666,-52.7314,0.16,78,75,2.24,CA,1670106071
41,souillac,-20.5167,57.5167,23.21,83,40,0.0,MU,1670106056
42,lebu,-37.6167,-73.65,15.81,72,71,5.66,CL,1670106034
43,tautira,-17.7333,-149.15,26.5,81,61,8.36,PF,1670106591
44,ruidoso,33.3317,-105.673,13.92,65,91,1.87,US,1670106423
45,bandar-e lengeh,26.5579,54.8807,22.95,53,0,0.96,IR,1670106592
46,saint-philippe,-21.3585,55.7679,24.77,86,16,3.83,RE,1670106050
47,bulancak,40.9372,38.2291,10.9,100,75,2.57,TR,1670106592
48,quatre cocos,-20.2078,57.7625,23.06,73,54,3.31,MU,1670106080
49,hermanus,-34.4187,19.2345,12.67,67,66,3.01,ZA,1670106033
50,georgetown,5.4112,100.3354,26.8,90,20,2.06,MY,1670106592
51,kaabong,3.4836,34.1492,19.06,70,39,6.37,UG,1670106593
52,talnakh,69.4865,88.3972,-19.89,99,100,2.37,RU,1670106593
53,tat,47.7415,18.6481,6.73,90,100,2.54,HU,1670106593
54,maceio,-9.6658,-35.7353,24.69,88,20,2.57,BR,1670106313
55,emerald,-23.5333,148.1667,22.41,68,0,3.49,AU,1670106594
56,panzhihua,26.5851,101.7128,8.61,71,0,0.75,CN,1670106594
57,hithadhoo,-0.6,73.0833,27.89,72,100,6.41,MV,1670106128
58,rio gallegos,-51.6226,-69.2181,14.03,18,40,11.32,AR,1670106595
59,tiksi,71.6872,128.8694,-23.37,92,100,9.95,RU,1670106111
60,provideniya,64.3833,-173.3,-2.12,95,100,8.75,RU,1670106056
61,jamestown,42.097,-79.2353,3.08,60,100,7.72,US,1670105942
62,bilma,18.6853,12.9164,23.7,21,81,4.05,NE,1670106595
63,bandarbeyla,9.4942,50.8122,25.41,70,4,8.25,SO,1670106071
64,key west,24.5557,-81.7826,29.0,62,20,5.66,US,1670106480
65,sembakung,3.8167,117.25,22.19,99,100,0.78,ID,1670106596
66,san bartolome de tirajana,27.9248,-15.5733,12.95,79,75,2.06,ES,1670106596
67,ostrovnoy,68.0531,39.5131,-5.95,93,55,4.63,RU,1670106068
68,mayo,38.8876,-76.5119,16.23,84,20,4.63,US,1670106596
69,nouadhibou,20.931,-17.0347,17.99,94,20,4.12,MR,1670106453
70,da nang,16.0678,108.2208,22.99,94,40,1.03,VN,1670106590
71,la ronge,55.1001,-105.2842,-16.86,71,75,2.57,CA,1670106550
72,thompson,55.7435,-97.8558,-25.91,76,20,2.57,CA,1670106062
73,bartica,6.4,-58.6167,25.18,98,100,1.86,GY,1670106597
74,isangel,-19.55,169.2667,28.86,75,100,4.78,VU,1670106464
75,kichera,55.9375,110.0997,-21.56,90,100,1.41,RU,1670106597
76,vaini,-21.2,-175.2,30.09,70,75,5.14,TO,1670106039
77,tual,-5.6667,132.75,28.27,72,91,1.73,ID,1670106597
78,novobirilyussy,56.9514,90.6661,-18.48,94,100,3.07,RU,1670106598
79,plettenberg bay,-34.0527,23.3716,15.54,71,94,0.89,ZA,1670106078
80,lahaina,20.8783,-156.6825,29.0,71,10,2.96,US,1670106359
81,east london,-33.0153,27.9116,18.67,77,100,1.69,ZA,1670106042
82,walcz,53.2779,16.4712,-1.18,91,100,3.5,PL,1670106598
83,along,28.1667,94.7667,11.92,76,30,0.72,IN,1670106599
84,dingle,10.9995,122.6711,23.67,94,90,3.08,PH,1670106140
85,bilibino,68.0546,166.4372,-16.42,84,93,1.98,RU,1670106599
86,sao filipe,14.8961,-24.4956,22.63,63,100,3.67,CV,1670106167
87,norman wells,65.282,-126.8329,1.02,80,100,9.26,CA,1670106039
88,san patricio,28.017,-97.5169,24.05,83,100,3.72,US,1670106174
89,noumea,-22.2763,166.4572,30.99,92,100,1.36,NC,1670106113
90,yilan,24.757,121.753,22.79,87,58,2.27,TW,1670106599
91,mahebourg,-20.4081,57.7,23.16,83,40,0.0,MU,1670106066
92,chuy,-33.6971,-53.4616,18.54,95,99,1.59,UY,1670106053
93,muisne,0.6,-80.0333,24.43,79,56,4.62,EC,1670106135
94,khorramshahr,30.4397,48.1664,18.98,55,75,4.12,IR,1670106600
95,hamilton,39.1834,-84.5333,5.92,57,0,5.14,US,1670105840
96,carnarvon,-24.8667,113.6333,20.84,82,8,7.08,AU,1670106061
97,mayskiy,47.6931,40.1025,-7.33,42,6,8.05,RU,1670106600
98,husavik,66.0449,-17.3389,0.37,83,36,5.08,IS,1670106146
99,severo-yeniseyskiy,60.3725,93.0408,-26.37,100,88,1.72,RU,1670106601
100,agadez,19.75,10.25,20.01,21,42,2.28,NE,1670106601
101,fairbanks,64.8378,-147.7164,-2.73,93,100,2.57,US,1670106103
102,mildura,-34.2,142.15,27.26,48,0,5.36,AU,1670106122
103,navrongo,10.8956,-1.0921,28.07,40,31,1.4,GH,1670106602
104,belmonte,-15.8631,-38.8828,23.43,90,84,3.78,BR,1670106114
105,dejen,10.1667,38.1333,10.64,43,45,1.73,ET,1670106602
106,pisco,-13.7,-76.2167,22.03,68,0,8.75,PE,1670106603
107,upernavik,72.7868,-56.1549,-5.12,74,100,18.56,GL,1670106059
108,porto velho,-8.7619,-63.9039,25.03,88,75,2.57,BR,1670106603
109,qaqortoq,60.7167,-46.0333,-9.18,87,5,2.91,GL,1670106138
110,hastings,50.8552,0.5729,5.86,80,100,6.59,GB,1670106603
111,sumenep,-7.0167,113.8667,26.82,80,97,1.47,ID,1670106604
112,ribeira grande,38.5167,-28.7,14.32,77,96,9.83,PT,1670106121
113,khatanga,71.9667,102.5,-13.56,94,100,10.49,RU,1670106072
114,goderich,43.7501,-81.7165,2.17,64,99,8.23,CA,1670106604
115,codrington,-38.2667,141.9667,21.44,64,82,4.09,AU,1670106043
116,sandakan,5.8402,118.1179,23.82,94,20,1.54,MY,1670106605
117,puerto ayora,-0.7393,-90.3518,24.98,87,83,3.13,EC,1670106029
118,pemberton,50.3164,-122.8027,3.45,78,50,0.74,CA,1670106130
119,arraial do cabo,-22.9661,-42.0278,22.39,92,100,12.59,BR,1670106081
120,korla,41.7597,86.1469,-6.8,38,30,0.06,CN,1670106040
121,tuatapere,-46.1333,167.6833,15.79,61,83,5.42,NZ,1670106156
122,sorong,-0.8833,131.25,25.73,87,100,2.94,ID,1670106549
123,lata,40.1629,-8.3327,9.49,82,99,0.92,PT,1670106038
124,clyde river,70.4692,-68.5914,-17.87,78,26,11.83,CA,1670105994
125,soyo,-6.1349,12.3689,25.79,88,100,2.74,AO,1670106605
126,haines junction,60.7522,-137.5108,-15.03,78,14,0.51,CA,1670106122
127,saint-pierre,-21.3393,55.4781,24.82,69,100,2.06,RE,1670106038
128,kahului,20.8947,-156.47,29.01,59,40,8.75,US,1670106606
129,miri,4.4148,114.0089,24.08,94,40,1.54,MY,1670106606
130,port blair,11.6667,92.75,26.74,83,100,4.52,IN,1670106065
131,cristalina,-16.7686,-47.6136,16.45,94,100,2.52,BR,1670106603
132,sesheke,-17.4759,24.2968,23.34,31,4,2.39,ZM,1670106607
133,lebanon,36.2081,-86.2911,10.63,63,0,2.57,US,1670106464
134,mehamn,71.0357,27.8492,-3.05,86,35,6.17,NO,1670106607
135,beloha,-25.1667,45.05,22.99,74,82,2.03,MG,1670106134
136,vila velha,-20.3297,-40.2925,22.97,96,100,3.6,BR,1670106159
137,santa maria,-29.6842,-53.8069,25.61,83,75,0.51,BR,1670106608
138,taoudenni,22.6783,-3.9836,22.8,18,0,2.86,ML,1670106608
139,vernon,50.2581,-119.2691,-4.66,69,75,1.34,CA,1670106608
140,yulara,-25.2406,130.9889,27.33,15,0,3.5,AU,1670106561
141,humboldt,40.6665,-123.9178,9.51,69,8,1.56,US,1670106609
142,batagay-alyta,67.8006,130.4114,-22.83,92,100,1.63,RU,1670106541
143,avarua,-21.2078,-159.775,29.03,79,40,5.14,CK,1670106060
144,saskylakh,71.9167,114.0833,-13.19,93,100,11.13,RU,1670106046
145,nantai,40.9241,122.8044,-9.76,34,0,2.1,CN,1670106609
146,port alfred,-33.5906,26.891,16.77,92,99,2.01,ZA,1670106037
147,port elizabeth,-33.918,25.5701,17.83,86,75,2.57,ZA,1670106034
148,acapulco,16.8634,-99.8901,30.9,58,20,4.12,MX,1670105997
149,urusha,54.05,122.9,-27.9,95,100,1.21,RU,1670106610
150,goleniow,53.5639,14.8285,-0.77,86,75,2.06,PL,1670106610
151,nome,64.5011,-165.4064,1.04,87,100,6.17,US,1670105739
152,byron bay,-28.65,153.6167,18.86,80,89,5.49,AU,1670106607
